,Unnamed: 0,checking?,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
100,100,T,Pentakis(trifluoromethyl)-phenylmalonitrile,FC(F)(F)C1=C(C(C#N)C#N)C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2-[Pentakis(trifluoromethyl)phenyl]malononitrile,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",acetonitrile,CC#N,8.86,MeCN_Acids_COSMO-RS_2008_Table.pdf
101,101,,"2,3,4,6-Tetrakis(trifluoromethyl)-phenylmalonitrile",FC(F)(F)C1=C(C(C#N)C#N)C(=C(C(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,-,-,acetonitrile,CC#N,10.45,MeCN_Acids_COSMO-RS_2008_Table.pdf
102,102,T,Pentakis(trifluoromethyl)-toluene,CC1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,-,"1-methyl-2,3,4,5,6-pentakis(trifluoromethyl)benzene",acetonitrile,CC#N,28.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
103,103,T,Pentacyanotoluene,CC1=C(C(=C(C(=C1C#N)C#N)C#N)C#N)C#N,1213-77-0,"6-methylbenzene-1,2,3,4,5-pentacarbonitrile",acetonitrile,CC#N,20.14,MeCN_Acids_COSMO-RS_2008_Table.pdf
104,104,,"2,4,6-Trinitrotoluene",CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],118-96-7,"2-methyl-1,3,5-trinitrobenzene",acetonitrile,CC#N,23.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
105,105,T,4-Nitrophenylacetonitrile,C1=CC(=CC=C1CC#N)[N+](=O)[O-],555-21-5,2-(4-nitrophenyl)acetonitrile,acetonitrile,CC#N,25.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
106,106,,4-Nitrophenylphenylacetonitrile,no matches,-,-,acetonitrile,CC#N,22.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
107,107,,4-Bromophenyl-4-nitrophenylacetonitrile,no matches,-,-,acetonitrile,CC#N,21.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
108,108,,4-Nitrophenyl-4-methoxyphenylacetonitrile,no matches,-,-,acetonitrile,CC#N,23.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
109,109,T,Bis(4-nitrophenyl)acetonitrile,C1=CC(=CC=C1C(C#N)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],-,"2,2-bis(4-nitrophenyl)acetonitrile",acetonitrile,CC#N,19.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
110,110,,Bis(4-nitrophenyl)ethylacetate,no matches,-,-,acetonitrile,CC#N,25.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
111,111,T,4-Nitrophenylnitromethane,C1=CC(=CC=C1C[N+](=O)[O-])[N+](=O)[O-],1610-26-0,1-nitro-4-(nitromethyl)benzene,acetonitrile,CC#N,20.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
112,112,T,Phthalic acid,C1=CC=C(C(=C1)C(=O)O)C(=O)O,88-99-3,phthalic acid,acetonitrile,CC#N,14.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
113,113,T,"2,2-Diphenic acid",C1=CC=C(C(=C1)C2=CC=CC=C2C(=O)O)C(=O)O,482-05-3,2-(2-carboxyphenyl)benzoic acid,acetonitrile,CC#N,15.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
114,114,T,3-Methylphthalic acid,CC1=C(C(=CC=C1)C(=O)O)C(=O)O,37102-74-2,3-methylphthalic acid,acetonitrile,CC#N,17.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
115,115,T,Propanedioic acid,C(C(=O)O)C(=O)O,141-82-2,propanedioic acid,acetonitrile,CC#N,15.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
116,116,T,Succinic acid,C(CC(=O)O)C(=O)O,110-15-6,butanedioic acid,acetonitrile,CC#N,17.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
117,117,T,Tetrahydroxysuccinicacid,C(=O)(C(C(C(=O)O)(O)O)(O)O)O,76-30-2,"2,2,3,3-tetrahydroxybutanedioic acid",acetonitrile,CC#N,13.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
118,118,T,Tartronicacid,C(C(=O)O)(C(=O)O)O,80-69-3,2-hydroxypropanedioic acid,acetonitrile,CC#N,13.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
119,119,T,"2,6-Dihydroxybenzoicacid",C1=CC(=C(C(=C1)O)C(=O)O)O,303-07-1,"2,6-dihydroxybenzoic acid",acetonitrile,CC#N,12.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
120,120,T,HClO4,OCl(=O)(=O)=O,7601-90-3,perchloric acid,acetonitrile,CC#N,1.57,MeCN_Acids_COSMO-RS_2008_Table.pdf
121,121,T,Fluorosulfuricacid,OS(=O)(=O)F,7789-21-1,sulfurofluoridic acid,acetonitrile,CC#N,3.38,MeCN_Acids_COSMO-RS_2008_Table.pdf
122,122,T,"2,4,6-Trinitrothiophenol",C1(=C(C(=C2C(=C1S2)[N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-],"2,4,6-Trinitrothiophenol","2,4,7-trinitro-6-thiabicyclo[3.1.1]hepta-1(7),2,4-trien-3-ol",acetonitrile,CC#N,11.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
123,123,T,o-Mercaptophenol,C1=CC=C(C(=C1)O)S,1121-24-0,2-sulfanylphenol,acetonitrile,CC#N,19.34,MeCN_Acids_COSMO-RS_2008_Table.pdf
124,124,T,"1,1,3,3-Tetranitrobutane",CC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],-,"1,1,3,3-tetranitrobutane",acetonitrile,CC#N,8.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
125,125,T,Pentakis(trifluoromethyl)-aniline,C1(=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)N)C(F)(F)F)C(F)(F)F)C(F)(F)F,58956-76-6,"2,3,4,5,6-pentakis(trifluoromethyl)aniline",acetonitrile,CC#N,24.59,MeCN_Acids_COSMO-RS_2008_Table.pdf
126,126,T,"1,3,7,9-Tetranitro-10H-phenoxazine",C1=C(C=C2C(=C1[N+](=O)[O-])NC3=C(C=C(C=C3O2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],24050-28-0,"1,3,7,9-tetranitro-10H-phenoxazine",acetonitrile,CC#N,18.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
127,127,T,"1,3,7-Trinitrophenoxazine",C1=CC2=C(C=C1[N+](=O)[O-])OC3=CC(=CC(=C3N2)[N+](=O)[O-])[N+](=O)[O-],-,"1,3,7-trinitro-10H-phenoxazine",acetonitrile,CC#N,20.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
128,128,T,"1,3,9-Trinitro-10H-phenoxazine",C1=CC(=C2C(=C1)OC3=CC(=CC(=C3N2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],24050-30-4,"1,3,9-trinitro-10H-phenoxazine",acetonitrile,CC#N,21.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
129,129,T,"1,3-Dinitrophenoxazine",C1=CC=C2C(=C1)NC3=C(C=C(C=C3O2)[N+](=O)[O-])[N+](=O)[O-],26103-32-2,"1,3-dinitro-10H-phenoxazine",acetonitrile,CC#N,22.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
130,130,,"1,7-Dimethyl-3-nitrophenoxazine",CC1=CC2=C(NC3=C(O2)C=C(C=C3C)[N+]([O-])=O)C=C1,-,-,acetonitrile,CC#N,25.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
131,131,T,1-Methyl-3-nitrophenoxazine,CC1=CC(=CC2=C1NC3=CC=CC=C3O2)[N+]([O-])=O,-,-,acetonitrile,CC#N,25.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
132,132,T,1-Nitro-10H-phenoxazine,C1=CC=C2C(=C1)NC3=C(C=CC=C3O2)[N+](=O)[O-],26103-27-5,1-nitro-10H-phenoxazine,acetonitrile,CC#N,28.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
133,133,T,"3,7-Dinitro-10H-phenoxazine",C1=CC2=C(C=C1[N+](=O)[O-])OC3=C(N2)C=CC(=C3)[N+](=O)[O-],-,"3,7-dinitro-10H-phenoxazine",acetonitrile,CC#N,22.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
134,134,T,3-Nitrophenoxazine,C1=CC=C2C(=C1)NC3=C(O2)C=C(C=C3)[N+](=O)[O-],-,3-nitro-10H-phenoxazine,acetonitrile,CC#N,25.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
135,135,T,"3,4-Dichlorobenzenesulfonamide",C1=CC(=C(C=C1S(=O)(=O)N)Cl)Cl,23815-28-3,"3,4-dichlorobenzenesulfonamide",acetonitrile,CC#N,23.29,MeCN_Acids_COSMO-RS_2008_Table.pdf
136,136,T,4-Methylbenzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)N,70-55-3,4-methylbenzenesulfonamide,acetonitrile,CC#N,24.82,MeCN_Acids_COSMO-RS_2008_Table.pdf
137,137,T,Benzenesulfonamide,C1=CC=C(C=C1)S(=O)(=O)N,98-10-2,benzenesulfonamide,acetonitrile,CC#N,24.61,MeCN_Acids_COSMO-RS_2008_Table.pdf
138,138,T,3-Chlorobenzenesulfonamide,C1=CC(=CC(=C1)Cl)S(=O)(=O)N,17260-71-8,3-chlorobenzenesulfonamide,acetonitrile,CC#N,23.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
139,139,T,3-Cyanobenzenesulfonamide,C1=CC(=CC(=C1)S(=O)(=O)N)C#N,3118-68-1,3-cyanobenzenesulfonamide,acetonitrile,CC#N,23.23,MeCN_Acids_COSMO-RS_2008_Table.pdf
140,140,T,3-Methoxybenzenesulfonamide,COC1=CC(=CC=C1)S(=O)(=O)N,58734-57-9,3-methoxybenzenesulfonamide,acetonitrile,CC#N,24.48,MeCN_Acids_COSMO-RS_2008_Table.pdf
141,141,T,3-Nitrobenzenesulfonamide,C1=CC(=CC(=C1)S(=O)(=O)N)[N+](=O)[O-],121-52-8,3-nitrobenzenesulfonamide,acetonitrile,CC#N,22.95,MeCN_Acids_COSMO-RS_2008_Table.pdf
142,142,T,3-Toluenesulfonamide,CC1=CC(=CC=C1)S(=O)(=O)N,1899-94-1,3-methylbenzenesulfonamide,acetonitrile,CC#N,24.67,MeCN_Acids_COSMO-RS_2008_Table.pdf
143,143,T,3-Trifluoromethylbenzenesulfonamide,C1=CC(=CC(=C1)S(=O)(=O)N)C(F)(F)F,672-58-2,3-(trifluoromethyl)benzenesulfonamide,acetonitrile,CC#N,23.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
144,144,T,"3,4-dimethylbenzenesulfonamide",CC1=C(C=C(C=C1)S(=O)(=O)N)C,6326-18-7,"3,4-dimethylbenzenesulfonamide",acetonitrile,CC#N,25.01,MeCN_Acids_COSMO-RS_2008_Table.pdf
145,145,T,p-Bromobenzenesulfonamide,C1=CC(=CC=C1S(=O)(=O)N)Br,701-34-8,4-bromobenzenesulfonamide,acetonitrile,CC#N,24.04,MeCN_Acids_COSMO-RS_2008_Table.pdf
146,146,T,p-Fluorobenzenesulfonamide,C1=CC(=CC=C1F)S(=O)(=O)N,402-46-0,4-fluorobenzenesulfonamide,acetonitrile,CC#N,24.19,MeCN_Acids_COSMO-RS_2008_Table.pdf
147,147,T,p-Methoxybenzenesulfonamide,COC1=CC=C(C=C1)S(=O)(=O)N,1129-26-6,4-methoxybenzenesulfonamide,acetonitrile,CC#N,25.09,MeCN_Acids_COSMO-RS_2008_Table.pdf
148,148,T,p-Nitrobenzenesulfonamide,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)N,6325-93-5,4-nitrobenzenesulfonamide,acetonitrile,CC#N,22.91,MeCN_Acids_COSMO-RS_2008_Table.pdf
149,149,T,4-Bromobenzoicacid,C1=CC(=CC=C1C(=O)O)Br,586-76-5,4-bromobenzoic acid,acetonitrile,CC#N,20.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
150,150,T,4-Hydroxybenzoicacid,C1=CC(=CC=C1C(=O)O)O,99-96-7,4-hydroxybenzoic acid,acetonitrile,CC#N,20.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
151,151,T,Chloroaceticacid,C(C(=O)O)Cl,79-11-8,2-chloroacetic acid,acetonitrile,CC#N,18.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
152,152,T,Cyanoaceticacid,C(C#N)C(=O)O,372-09-8,2-cyanoacetic acid,acetonitrile,CC#N,18.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
153,153,T,Dichloroaceticacid,C(C(=O)O)(Cl)Cl,79-43-6,"2,2-dichloroacetic acid",acetonitrile,CC#N,13.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
154,154,T,Fumaricacid,C(=CC(=O)O)C(=O)O,26099-09-2,but-2-enedioic acid,acetonitrile,CC#N,19.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
155,155,T,Oxalicacid,C(=O)(C(=O)O)O,144-62-7,oxalic acid,acetonitrile,CC#N,14.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
156,156,T,Salicylicacid,C1=CC=C(C(=C1)C(=O)O)O,69-72-7,2-hydroxybenzoic acid,acetonitrile,CC#N,16.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
157,157,T,Trichloroaceticacid,C(=O)(C(Cl)(Cl)Cl)O,76-03-9,"2,2,2-trichloroacetic acid",acetonitrile,CC#N,10.75,MeCN_Acids_COSMO-RS_2008_Table.pdf
158,158,T,Trifluoroaceticacid,C(=O)(C(F)(F)F)O,76-05-1,"2,2,2-trifluoroacetic acid",acetonitrile,CC#N,12.65,MeCN_Acids_COSMO-RS_2008_Table.pdf
159,159,T,"1,3-Benzenedicarboxylicacid",C1=CC(=CC(=C1)C(=O)O)C(=O)O,121-91-5,"benzene-1,3-dicarboxylic acid",acetonitrile,CC#N,19.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
160,160,T,"1,4-Benzenedicarboxylicacid",C1=CC(=CC=C1C(=O)O)C(=O)O,100-21-0,terephthalic acid,acetonitrile,CC#N,19.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
161,161,T,"1,8-Naphthalicacid",C1=CC2=C(C(=C1)C(=O)O)C(=CC=C2)C(=O)O,518-05-8,"naphthalene-1,8-dicarboxylic acid",acetonitrile,CC#N,21.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
162,162,T,"2,3-Dibromopropionicacid",C(C(C(=O)O)Br)Br,600-05-5,"2,3-dibromopropanoic acid",acetonitrile,CC#N,17.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
163,163,T,"2,4,6-Trimethylbenzoicacid",CC1=CC(=C(C(=C1)C)C(=O)O)C,480-63-7,"2,4,6-trimethylbenzoic acid",acetonitrile,CC#N,20.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
164,164,T,"2,4-Dichlorobenzoicacid",C1=CC(=C(C=C1Cl)Cl)C(=O)O,50-84-0,"2,4-dichlorobenzoic acid",acetonitrile,CC#N,18.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
165,165,T,"2,4-Dinitrobenzoicacid",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,610-30-0,"2,4-dinitrobenzoic acid",acetonitrile,CC#N,16.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
166,166,T,"2,5-Dichlorobenzenesulfonicacid",C1=CC(=C(C=C1Cl)S(=O)(=O)O)Cl,88-42-6,"2,5-dichlorobenzenesulfonic acid",acetonitrile,CC#N,6.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
167,167,T,"2,6-Dichlorobenzoicacid",C1=CC(=C(C(=C1)Cl)C(=O)O)Cl,50-30-6,"2,6-dichlorobenzoic acid",acetonitrile,CC#N,17.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
168,168,T,"2,6-Dinitrobenzoicacid",C1=CC(=C(C(=C1)[N+](=O)[O-])C(=O)O)[N+](=O)[O-],603-12-3,"2,6-dinitrobenzoic acid",acetonitrile,CC#N,15.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
169,169,T,2-Chloro-benzoicacid,C1=CC=C(C(=C1)C(=O)O)Cl,118-91-2,2-chlorobenzoic acid,acetonitrile,CC#N,19.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
170,170,T,"3,4-Dichlorobenzoicacid",C1=CC(=C(C=C1C(=O)O)Cl)Cl,51-44-5,"3,4-dichlorobenzoic acid",acetonitrile,CC#N,19.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
171,171,T,"3,4-Dimethylbenzoicacid",CC1=C(C=C(C=C1)C(=O)O)C,619-04-5,"3,4-dimethylbenzoic acid",acetonitrile,CC#N,19.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
172,172,T,"3,5-Dichlorobenzoicacid",C1=C(C=C(C=C1Cl)Cl)C(=O)O,51-36-5,"3,5-dichlorobenzoic acid",acetonitrile,CC#N,18.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
173,173,T,"3,5-Dinitrobenzoicacid",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,99-34-3,"3,5-dinitrobenzoic acid",acetonitrile,CC#N,17.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
174,174,T,3-Bromobenzoicacid,C1=CC(=CC(=C1)Br)C(=O)O,585-76-2,3-bromobenzoic acid,acetonitrile,CC#N,19.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
175,175,T,3-Nitrobenzoicacid,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,121-92-6,3-nitrobenzoic acid,acetonitrile,CC#N,19.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
176,176,T,4-Chloro-3-nitrobenzoicacid,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Cl,96-99-1,4-chloro-3-nitrobenzoic acid,acetonitrile,CC#N,18.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
177,177,T,4-Dimethylaminobenzoicacid,CN(C)C1=CC=C(C=C1)C(=O)O,619-84-1,4-(dimethylamino)benzoic acid,acetonitrile,CC#N,23.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
178,178,T,4-Nitrobenzoicacid,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],62-23-7,4-nitrobenzoic acid,acetonitrile,CC#N,18.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
179,179,T,Butyricacid,CCCC(=O)O,107-92-6,butanoic acid,acetonitrile,CC#N,22.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
180,180,T,Hexanedioicacid,C(CCC(=O)O)CC(=O)O,124-04-9,hexanedioic acid,acetonitrile,CC#N,20.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
181,181,T,Hydracrylicacid,C(CO)C(=O)O,503-66-2,3-hydroxypropanoic acid,acetonitrile,CC#N,21.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
182,182,T,Hydroxy-aceticacid,C(C(=O)O)O,79-14-1,2-hydroxyacetic acid,acetonitrile,CC#N,19.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
183,183,T,Nonanedioicacid,C(CCCC(=O)O)CCCC(=O)O,123-99-9,nonanedioic acid,acetonitrile,CC#N,20.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
184,184,T,o-Nitrobenzoicacid,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],552-16-9,2-nitrobenzoic acid,acetonitrile,CC#N,18.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
185,185,T,Pentanedioicacid,C(CC(=O)O)CC(=O)O,110-94-1,pentanedioic acid,acetonitrile,CC#N,19.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
186,186,T,Tartaricacid,C(C(C(=O)O)O)(C(=O)O)O,526-83-0,"2,3-dihydroxybutanedioic acid",acetonitrile,CC#N,15.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
187,187,,Nitricacid,[N+](=O)(O)[O-],-,-,acetonitrile,CC#N,8.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
188,188,,2-Bromophenol,C1=CC=C(C(=C1)O)Br,95-56-7,2-bromophenol,acetonitrile,CC#N,23.92,MeCN_Acids_COSMO-RS_2008_Table.pdf
189,189,T,"3,4,5-Trichlorophenol",C1=C(C=C(C(=C1Cl)Cl)Cl)O,609-19-8,"3,4,5-trichlorophenol",acetonitrile,CC#N,22.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
190,190,,"3,4-Dichlorophenol",C1=CC(=C(C=C1O)Cl)Cl,95-77-2,"3,4-dichlorophenol",acetonitrile,CC#N,24.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
191,191,,"3,5-Dichlorophenol",C1=C(C=C(C=C1Cl)Cl)O,-,-,acetonitrile,CC#N,23.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
192,192,T,3-Chlorophenol,C1=CC(=CC(=C1)Cl)O,108-43-0,3-chlorophenol,acetonitrile,CC#N,25.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
193,193,T,4-Bromophenol,C1=CC(=CC=C1O)Br,106-41-2,4-bromophenol,acetonitrile,CC#N,25.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
194,194,T,4-Chlorophenol,C1=CC(=CC=C1O)Cl,106-48-9,4-chlorophenol,acetonitrile,CC#N,25.44,MeCN_Acids_COSMO-RS_2008_Table.pdf
195,195,,4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-,-,acetonitrile,CC#N,20.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
196,196,T,p-Cresole,CC1=CC=C(C=C1)O,106-44-5,4-methylphenol,acetonitrile,CC#N,27.45,MeCN_Acids_COSMO-RS_2008_Table.pdf
197,197,,Phenol,C1=CC=C(C=C1)O,108-95-2,phenol,acetonitrile,CC#N,29.14,MeCN_Acids_COSMO-RS_2008_Table.pdf
198,198,,2-Methylphenol,CC1=CC=CC=C1O,-,-,acetonitrile,CC#N,27.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
199,199,T,"3,4-Dinitrophenol",C1=CC(=C(C=C1O)[N+](=O)[O-])[N+](=O)[O-],577-71-9,"3,4-dinitrophenol",acetonitrile,CC#N,17.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
200,200,T,3-Chloro-4-nitrophenol,C1=CC(=C(C=C1O)Cl)[N+](=O)[O-],491-11-2,3-chloro-4-nitrophenol,acetonitrile,CC#N,19.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
201,201,T,3-Nitrophenol,C1=CC(=CC(=C1)O)[N+](=O)[O-],554-84-7,3-nitrophenol,acetonitrile,CC#N,23.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
202,202,T,3-Trifluoromethyl-4-nitrophenol,C1=CC(=C(C=C1O)C(F)(F)F)[N+](=O)[O-],88-30-2,4-nitro-3-(trifluoromethyl)phenol,acetonitrile,CC#N,19.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
203,203,T,"4-Chloro-2,6-dinitrophenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])Cl,88-87-9,"4-chloro-2,6-dinitrophenol",acetonitrile,CC#N,15.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
204,204,T,4-Cyanophenol,C1=CC(=CC=C1C#N)O,767-00-0,4-hydroxybenzonitrile,acetonitrile,CC#N,22.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
205,205,T,3-Trifluoromethylphenol,C1=CC(=CC(=C1)O)C(F)(F)F,98-17-9,3-(trifluoromethyl)phenol,acetonitrile,CC#N,24.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
206,206,,"4-(1,1-Dimethylethyl)-phenol",CC(C)(C)C1=CC=C(C=C1)O,-,-,acetonitrile,CC#N,27.48,MeCN_Acids_COSMO-RS_2008_Table.pdf
207,207,T,"3,5-Dinitrophenol",C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],586-11-8,"3,5-dinitrophenol",acetonitrile,CC#N,20.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
208,208,T,"2,3,5,6-Tetrafluoro-4-methylphenol",CC1=C(C(=C(C(=C1F)F)O)F)F,1644-90-2,"2,3,5,6-tetrafluoro-4-methylphenol",acetonitrile,CC#N,20.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
209,209,,"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-,-,acetonitrile,CC#N,22.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
210,210,T,2-Trifluoromethylphenol,C1=CC=C(C(=C1)C(F)(F)F)O,444-30-4,2-(trifluoromethyl)phenol,acetonitrile,CC#N,24.88,MeCN_Acids_COSMO-RS_2008_Table.pdf
211,211,T,3-Trifluoromethylphenol,C1=CC(=CC(=C1)O)C(F)(F)F,98-17-9,3-(trifluoromethyl)phenol,acetonitrile,CC#N,26.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
212,212,T,4-Trifluoromethylphenol,C1=CC(=CC=C1C(F)(F)F)O,402-45-9,4-(trifluoromethyl)phenol,acetonitrile,CC#N,25.54,MeCN_Acids_COSMO-RS_2008_Table.pdf
213,213,T,"3,5-Bis(trifluoromethyl)-phenol",C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",acetonitrile,CC#N,23.78,MeCN_Acids_COSMO-RS_2008_Table.pdf
214,214,T,"2,6-Bis(1,1-dimethylethyl)-4-nitrophenol",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],728-40-5,"2,6-ditert-butyl-4-nitrophenol",acetonitrile,CC#N,19.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
215,215,T,Pentakis(trifluoromethyl)-phenol,C1(=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)O)C(F)(F)F)C(F)(F)F)C(F)(F)F,723294-91-5,"2,3,4,5,6-pentakis(trifluoromethyl)phenol",acetonitrile,CC#N,10.46,MeCN_Acids_COSMO-RS_2008_Table.pdf
216,216,T,4-Methylbenzenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O,104-15-4,4-methylbenzenesulfonic acid,acetonitrile,CC#N,8.01,MeCN_Acids_COSMO-RS_2008_Table.pdf
217,217,,Methanesulfonic acid,CS(=O)(=O)O,75-75-2,methanesulfonic acid,acetonitrile,CC#N,9.97,MeCN_Acids_COSMO-RS_2008_Table.pdf
218,218,T,Trifluoromethanesulfonic acid,C(F)(F)(F)S(=O)(=O)O,1493-13-6,trifluoromethanesulfonic acid,acetonitrile,CC#N,2.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
219,219,,sulfuric acid,OS(=O)(=O)O,7664-93-9,sulfuric acid,acetonitrile,CC#N,7.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
220,220,T,HBr,Br,10035-10-6,bromane,acetonitrile,CC#N,5.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
221,221,T,HCl,Cl,7647-01-0,chlorane,acetonitrile,CC#N,8.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
222,222,T,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11.0,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
