,targets,D-MPNN,D-MPNN with attention,MPNN,MPNN with attention,RNN+NN,RNN+NN with attention,Random forest with descriptors,Random forest with ECFP,MLP with descriptors,MLP with ECFP,RGBoost with descriptors,RGBoost with ECFP
0,8.8,14.014848,15.317064,16.84117,18.355072,15.940463,16.077238,10.302707071426077,11.770880809518705,10.701178152242939,8.804929112795687,8.861163,10.181297
1,43.6,13.418235,14.830612,18.16032,13.369513,15.823489,16.146408,42.552986666897056,40.52614666673704,43.066373426938,43.63499769950041,43.573246,42.862057
2,13.5,14.470227,12.823273,15.66729,13.870707,15.7578125,16.015026,12.557029999999983,13.280609999999983,13.4326773753012,13.547535903810124,13.482086,13.637189
3,7.96,15.489474,14.701693,15.079891,16.036108,15.865907,15.94815,8.029590000000027,8.470585000000026,7.179810340818655,7.8215999261295135,8.064433,8.84437
4,10.1,14.684726,14.83131,15.553308,17.027328,15.879199,15.853036,9.32112,9.863895,10.053598174875471,10.205850153770982,10.08485,9.577077
5,16.61,15.101577,15.073476,14.366664,16.380812,16.017706,15.876432,15.444332857139003,16.660751457135998,16.625398799552467,16.620082860225583,16.56328,17.047117
6,9.21,14.284854,15.486298,15.549704,16.862827,15.762352,15.927024,8.117520000000003,9.012490000000025,8.804286588024354,8.601227087946924,9.217125,8.191421
7,10.5,14.57662,13.77517,15.9144745,17.208012,15.792305,15.81283,9.01722,10.009840000000008,10.514470792432402,10.409946175112252,10.580933,8.471887
8,16.46,14.706303,16.468647,16.268118,16.588928,15.939524,15.865269,15.178685999984994,16.27725130474699,16.466541779438014,17.14801775484849,16.357386,16.417543
9,6.17,14.575361,1.2252262,15.846582,43.985737,16.192713,16.14568,6.379340861114155,6.279090458335004,5.969898299072614,6.623114390690725,6.225011,6.1824045
10,7.47,14.14282,1.7143142,15.547215,49.154457,16.117771,16.112976,7.775502000022503,7.847254166679012,6.737797109295949,7.930080066286707,7.400753,7.5875177
11,40.4,13.874129,-4.5137396,15.9336195,41.29732,15.952366,16.196583,41.07443333343997,40.50646666680005,41.23031835313161,34.16870673576616,40.009876,41.659794
12,8.775,14.469075,4.34354,15.948792,37.641525,16.13112,16.102173,8.71792726191195,8.73044833332797,13.216704719844,9.452517687906205,8.757869,8.729524
13,6.19,14.681282,11.986957,15.927338,35.773872,16.239376,16.031397,6.843908916664718,7.099170750009385,8.550544743306505,6.644707054551208,6.200366,6.207323
14,6.705,14.222619,3.2350204,16.003632,34.531647,16.206114,16.149197,6.634144666675647,6.605532861114948,1.5626562736008793,6.780021864586294,6.7051115,6.72571
15,7.86,14.308402,2.0052383,15.534421,28.575123,16.131187,16.115404,7.939674944504327,7.926989000099989,-0.17077605269006746,7.24699678139797,7.622958,7.624116
16,6.04,15.102315,6.2239714,16.135178,21.646214,16.234198,16.031395,7.788520523798246,7.734817583338732,13.811177258209948,6.406212659372105,6.074891,6.5273685
17,39.9,13.56605,8.189129,16.635416,13.68912,16.089283,16.154573,39.102406666693696,39.02278000005701,44.40610912549586,40.058704837592316,39.864704,39.898575
18,3.33,14.836672,-2.8762772,15.028715,39.83482,16.310917,16.169983,5.866175880966287,4.631347347238497,-4.23407299935471,4.552706509909669,5.133812,4.834772
19,35.9,15.155854,7.536626,15.69529,34.775093,16.131601,16.238243,35.65092619047647,36.55310000000028,39.24961364043804,35.88046743610643,35.90444,36.29302
20,37.1,14.049917,7.2319727,15.755787,13.570852,16.1113,16.263155,37.064466666669915,37.2069999999999,40.40031097639209,37.18648278120879,37.076565,36.736298
21,4.215,14.465588,11.492602,16.169584,17.848783,16.307299,16.121058,4.31621339484326,4.270895194450688,8.794773222014143,4.43032099473419,4.182577,4.43013
22,6.6,13.721289,4.9734898,15.561119,52.12443,16.202892,16.143711,6.911512922630028,6.217832488102577,5.080632869176618,6.763403686347839,6.547764,6.996196
23,40.7,14.103898,0.21398142,16.47161,40.695934,15.957996,16.21163,41.67606666676996,41.16746666673995,41.7510436525812,37.898143823743155,39.589756,41.952
24,7.83,13.782936,3.1359327,14.775125,56.618683,16.126368,16.115147,8.025625833373994,8.11009666667101,2.5851426427482345,8.439148361231595,7.89814,7.86133
25,9.49,13.442332,13.742224,16.51411,25.12147,16.308487,16.094305,9.1672878333327,9.608541666667062,5.477221547302239,9.697860517754993,9.473005,9.271689
26,4.88,14.535804,-5.1865664,15.899986,26.74798,16.261797,16.111094,4.937834273952605,4.804882889044171,3.7992322407095234,4.703388483960527,4.7643967,4.586111
27,20.13,14.902365,2.527644,15.636516,24.486038,16.16583,16.12707,20.13269683336492,20.253616666679918,14.607373789111184,20.157565489517047,20.135773,20.169313
28,24.96,13.500536,10.550918,15.288716,56.172894,16.09703,16.022009,24.623886509520396,24.641298857142772,26.392748769295558,24.902199726743724,24.97579,25.10611
29,-8.8,15.534597,14.528891,17.444258,16.34564,15.690589,15.848172,-7.880450000000083,-5.5060900000000625,-9.347665273667369,-7.533313343360716,-8.793847,-7.966384
30,-6.8,14.858764,15.571428,15.485357,17.16182,15.718752,15.697024,-7.105764999999794,-4.272629999999738,-6.7675757026184495,-7.265052654664613,-6.8791304,-6.631713
31,40.6,14.637448,14.5032625,16.367535,14.384485,15.637916,15.874022,36.616448809674154,34.96086000000032,36.31632013953388,34.92191393913041,39.33056,28.118721
32,5.471428571000001,14.525346,14.986666,16.083155,13.837775,15.841057,15.779547,6.296865475912313,9.640691523538642,2.984088006087939,5.105890724190765,5.5932713,5.6013927
33,7.3,13.535891,10.598948,15.38851,24.268764,16.094637,16.10656,9.015091523815995,10.182478404753008,5.255732929066829,7.329653893450599,7.3201256,7.930476
34,33.0,14.228144,11.924894,16.34731,29.170345,16.093798,15.961053,33.34266666667025,33.69326857145549,26.69167851539307,32.871609655844175,33.01972,33.408268
35,4.375,14.229294,14.11423,15.69367,19.403227,16.1832,15.913987,5.872522107142775,5.967927404755155,2.4210991655802943,4.40680328052815,4.487278,4.6594477
36,36.3,13.869922,12.063646,15.441944,25.977774,16.017904,16.008953,36.01477619047973,35.82713571428591,34.64196602512661,35.98049214484331,36.06825,35.84869
37,33.2,14.2093935,7.4443398,15.609557,22.479052,16.101645,16.072311,33.97767833333359,34.55142666666694,27.058112972112482,35.45552515707051,33.499725,34.709877
38,29.7,13.854708,12.376009,16.402342,26.415905,16.06903,16.017162,31.256558333333604,31.747726666666928,30.000917782192808,29.602977455898,29.72345,29.849382
39,32.9,13.881296,11.237602,16.343914,19.929895,16.086985,16.045633,34.09165000000364,34.92555333333359,33.05142882289009,33.59105245190991,34.632797,35.722446
40,38.2,14.085973,10.940205,16.310507,23.774765,16.046324,16.03521,34.440340000000276,34.77900000003029,24.583056924411306,35.92473339159719,35.904713,36.74139
41,5.0,14.190595,14.455886,14.685038,17.984835,16.118294,15.881849,9.044672833320003,14.77096082852266,5.704041074621514,6.105897564282815,8.795768,8.898187
42,-5.1,13.903271,11.001704,14.807794,21.713717,15.930218,15.988773,-1.3767649999999936,-1.3261600000000033,-5.8564159218538965,-5.0876086478017,-5.1397314,-4.031049
43,38.6,14.655458,14.159801,16.31659,20.68242,15.953775,16.011986,37.1141133333336,37.12834000000028,41.26849503941175,38.62047794215987,38.622734,38.215683
44,42.2,14.238875,5.1055403,14.774329,38.417706,16.078745,16.155552,43.85853333333978,40.586650000003154,44.515842297550975,42.04857629661609,42.209755,42.074875
45,8.86,14.656829,3.5060108,15.35508,9.779353,16.278244,16.039112,9.314534166674898,9.268350999989906,5.612324734452242,8.850337707315035,8.864107,8.892113
46,44.2,13.566419,9.535822,14.948832,20.718287,16.065598,16.229588,45.78730000000026,40.31726785716302,32.3744448133687,43.77663300605406,44.110424,43.507915
